fipscode,county,state,dem_votes,rep_votes,other_votes
20009,Barton,Kansas,2645,4841,1101
50019,Barton,Vermont,257,605,31
13015,Bartow,Georgia,8524,28425,410
48021,Bastrop,Texas,10407,16351,640
23023,Bath,Massachusetts,2633,1213,272
33009,Bath,Nebraska,206,248,10
05005,Baxter,Arkansas,2978,10694,679
12005,Bay,Florida,16757,45709,865
26017,Bay,Michigan,23159,21847,1525
55007,Bayfield,Wisconsin,5152,3458,187
48023,Baylor,Texas,129,1090,15
09009,Beacon Falls,Connecticut,878,1804,225
46005,Beadle,South Dakota,2832,3182,94
23029,Beals,Massachusetts,82,125,5
16007,Bear Lake,Idaho,307,1780,64
45013,Beaufort,South Carolina,31971,38399,63
40007,Beaver,Oklahoma,272,1454,73
42007,Beaver,Pennsylvania,36166,30593,1117
23021,Beaver Cove,Massachusetts,35,56,4
27005,Becker,Minnesota,5400,8784,543
40009,Beckham,Oklahoma,1396,4061,248
23029,Beddington,Massachusetts,11,21,0
33011,Bedford,Nebraska,4075,6815,77
42009,Bedford,Pennsylvania,4408,14261,194
47003,Bedford,Tennessee,3447,9489,113
48025,Bee,Texas,2261,4827,90
23027,Belfast,Massachusetts,2342,1006,171
23011,Belgrade,Massachusetts,749,889,75
48027,Bell,Texas,33803,51157,1438
23027,Belmont,Massachusetts,209,214,35
33001,Belmont,Nebraska,858,1818,34
39013,Belmont,Ohio,8686,15614,588
27007,Beltrami,Minnesota,8848,8328,778
50015,Belvidere,Vermont,38,87,6
13017,Ben Hill,Georgia,1983,3539,25
16009,Benewah,Idaho,1004,2672,87
46007,Bennett,South Dakota,523,553,26
33011,Bennington,Nebraska,254,310,16
50003,Bennington,Vermont,2259,2243,453
50021,Benson,Vermont,105,276,38
08011,Bent,Colorado,638,1094,139
05007,Benton,Arkansas,22316,53185,2033
19011,Benton,Hawaii,4482,6845,302
23011,Benton,Massachusetts,500,678,74
27009,Benton,Minnesota,6020,9405,623
33009,Benton,Nebraska,61,97,3
41003,Benton,Oregon,26592,14990,2649
47005,Benton,Tennessee,1599,3696,51
26019,Benzie,Michigan,4551,4963,279
45015,Berkeley,South Carolina,30452,35107,110
42011,Berks,Pennsylvania,76136,65756,2534
50011,Berkshire,Vermont,97,383,19
09003,Berlin,Connecticut,3656,5543,980
33007,Berlin,Nebraska,1360,1420,66
50023,Berlin,Vermont,320,810,29
13019,Berrien,Georgia,900,5314,38
26021,Berrien,Michigan,27861,32161,2014
23031,Berwick,Massachusetts,1294,1516,185
09009,Bethany,Connecticut,1241,1679,177
09001,Bethel,Connecticut,3949,4166,551
23017,Bethel,Massachusetts,758,563,106
50027,Bethel,Vermont,330,536,43
09005,Bethlehem,Connecticut,685,1280,137
33009,Bethlehem,Nebraska,696,496,19
48029,Bexar,Texas,285502,251043,9852
01007,Bibb,Alabama,1799,5082,15
13021,Bibb,Georgia,37066,23225,401
23031,Biddeford,Massachusetts,4559,3010,484
56003,Big Horn,Wyoming,608,3391,315
27011,Big Stone,Minnesota,1111,1353,109
16011,Bingham,Idaho,3515,9337,398
23025,Bingham,Massachusetts,180,222,27
19013,Black Hawk,Hawaii,29259,22786,1213
16013,Blaine,Idaho,7267,3063,157
23003,Blaine,Massachusetts,73,259,18
31009,Blaine,Nebraska,49,215,
40011,Blaine,Oklahoma,889,1941,123
42013,Blair,Pennsylvania,14622,28175,725
48031,Blanco,Texas,1351,4329,115
13023,Bleckley,Georgia,1002,3816,42
47007,Bledsoe,Tennessee,923,3102,47
09003,Bloomfield,Connecticut,7955,1745,759
50009,Bloomfield,Vermont,20,48,6
01009,Blount,Alabama,2479,16984,40
47009,Blount,Tennessee,13362,32958,455
27013,Blue Earth,Minnesota,16317,10806,1012
23009,Blue Hill,Massachusetts,1037,503,84
16015,Boise,Idaho,1051,2374,85
09013,Bolton,Connecticut,1082,1350,318
50007,Bolton,Vermont,270,333,19
46009,Bon Homme,South Dakota,1408,1303,36
17005,Bond,Illinois,2370,3388,803
16017,Bonner,Idaho,6749,11477,364
16019,Bonneville,Idaho,10699,23497,1065
05009,Boone,Arkansas,2208,9028,387
19015,Boone,Hawaii,5810,6107,284
17007,Boone,Illinois,6970,8792,2099
31011,Boone,Nebraska,440,1872,
23015,Boothbay,Massachusetts,925,789,91
23015,Boothbay Harbor,Massachusetts,644,493,62
48033,Borden,Texas,17,321,1
33013,Boscawen,Nebraska,539,752,35
48035,Bosque,Texas,1104,5948,106
08013,Boulder,Colorado,133116,38423,4723
16021,Boundary,Idaho,1075,3101,95
20011,Bourbon,Kansas,1576,2970,387
33013,Bow,Nebraska,2045,2175,30
23023,Bowdoin,Massachusetts,530,859,101
23023,Bowdoinham,Massachusetts,870,679,95
23021,Bowerbank,Massachusetts,27,60,2
48037,Bowie,Texas,7357,20651,281
31013,Box Butte,Nebraska,1096,2525,
31015,Boyd,Nebraska,152,809,
09011,Bozrah,Connecticut,406,634,151
12007,Bradford,Florida,2671,7698,136
23019,Bradford,Massachusetts,160,325,33
33013,Bradford,Nebraska,357,419,7
42015,Bradford,Pennsylvania,6852,13068,500
50017,Bradford,Vermont,384,618,38
05011,Bradley,Arkansas,868,1906,80
23019,Bradley,Massachusetts,315,301,50
47011,Bradley,Tennessee,7287,26123,355
50017,Braintree,Vermont,173,329,22
26023,Branch,Michigan,5324,9381,507
50021,Brandon,Vermont,524,959,91
09009,Branford,Connecticut,6891,6497,842
13025,Brantley,Georgia,461,5198,35
50025,Brattleboro,Vermont,3391,1408,286
48039,Brazoria,Texas,39536,70373,1637
48041,Brazos,Texas,23361,39424,1383
23015,Bremen,Massachusetts,267,159,23
19017,Bremer,Hawaii,4999,6220,231
33015,Brentwood,Nebraska,884,1221,24
12009,Brevard,Florida,114921,162213,4454
23019,Brewer,Massachusetts,1881,1893,217
48043,Brewster,Texas,1933,2033,96
09001,Bridgeport,Connecticut,22973,5082,1016
09005,Bridgewater,Connecticut,459,546,58
23003,Bridgewater,Massachusetts,70,154,14
33009,Bridgewater,Nebraska,234,367,3
50027,Bridgewater,Vermont,139,260,21
23005,Bridgton,Massachusetts,1157,1224,186
50001,Bridport,Vermont,139,429,16
50009,Brighton,Vermont,118,305,18
23025,Brighton Plt.,Massachusetts,13,19,4
48045,Briscoe,Texas,58,556,9
09003,Bristol,Connecticut,8779,11024,1857
23015,Bristol,Massachusetts,902,708,81
33009,Bristol,Nebraska,475,778,19
44001,Bristol,Rhode Island,4778,3115,1029
50001,Bristol,Vermont,694,949,64
09001,Brookfield,Connecticut,3396,4406,459
33003,Brookfield,Nebraska,129,251,7
50017,Brookfield,Vermont,207,409,29
46011,Brookings,South Dakota,6372,5225,183
23009,Brooklin,Massachusetts,351,165,18
33011,Brookline,Nebraska,1082,1481,48
50025,Brookline,Vermont,113,97,14
09015,Brooklyn,Connecticut,1138,1682,314
13027,Brooks,Georgia,2188,3511,23
23027,Brooks,Massachusetts,204,272,15
48047,Brooks,Texas,1198,658,12
23009,Brooksville,Massachusetts,367,175,29
08014,Broomfield,Colorado,21405,13582,1161
12011,Broward,Florida,482152,222012,5015
17009,Brown,Illinois,402,972,508
20013,Brown,Kansas,1133,1836,419
27015,Brown,Minnesota,4932,6461,416
31017,Brown,Nebraska,214,1151,
39015,Brown,Ohio,3683,10668,499
46013,Brown,South Dakota,7338,6821,206
48049,Brown,Texas,1458,10640,142
55009,Brown,Wisconsin,51724,61424,2521
23017,Brownfield,Massachusetts,335,322,45
50019,Brownington,Vermont,98,205,11
23021,Brownville,Massachusetts,232,285,39
46015,Brule,South Dakota,991,1103,36
23005,Brunswick,Massachusetts,7578,3024,563
50009,Brunswick,Vermont,8,37,2
13029,Bryan,Georgia,4313,10507,165
40013,Bryan,Oklahoma,3746,7301,302
19019,Buchanan,Hawaii,3865,4400,228
23017,Buckfield,Massachusetts,258,420,222
42017,Bucks,Pennsylvania,172302,117912,4115
23009,Bucksport,Massachusetts,981,1022,165
19021,Buena Vista,Hawaii,2649,3771,145
31019,Buffalo,Nebraska,5154,11168,
46017,Buffalo,South Dakota,403,138,7
55011,Buffalo,Wisconsin,2385,3463,128
13031,Bulloch,Georgia,8630,14848,205
01011,Bullock,Alabama,2729,949,4
17011,Bureau,Illinois,5290,6902,1276
13033,Burke,Georgia,4269,4410,42
50005,Burke,Vermont,238,429,32
48051,Burleson,Texas,1277,5254,68
09003,Burlington,Connecticut,1811,2629,465
23019,Burlington,Massachusetts,55,103,7
50007,Burlington,Vermont,11948,5793,714
48053,Burnet,Texas,3712,14497,340
55013,Burnett,Wisconsin,2742,4664,182
23027,Burnham,Massachusetts,211,276,18
44007,Burrillville,Rhode Island,1880,3364,781
31021,Burt,Nebraska,976,1973,
01013,Butler,Alabama,3363,4812,3
19023,Butler,Hawaii,2064,3952,140
20015,Butler,Kansas,8651,12822,2494
31023,Butler,Nebraska,870,2632,
39017,Butler,Ohio,48890,82771,3879
42019,Butler,Pennsylvania,32891,45242,1578
06007,Butte,California,41500,47226,
16023,Butte,Idaho,214,788,29
46019,Butte,South Dakota,1234,2505,69
13035,Butts,Georgia,2451,6358,54
23031,Buxton,Massachusetts,1580,2334,172
23017,Byron,Massachusetts,27,50,7
50023,Cabot,Vermont,276,382,24
40015,Caddo,Oklahoma,3043,4047,272
23029,Calais,Massachusetts,488,546,87
50023,Calais,Vermont,491,388,30
06009,Calaveras,California,7765,13845,
48055,Caldwell,Texas,4509,6723,225
01015,Calhoun,Alabama,12487,24460,92
05013,Calhoun,Arkansas,423,1335,33
12013,Calhoun,Florida,923,3576,110
13037,Calhoun,Georgia,1084,810,5
19025,Calhoun,Hawaii,1464,2710,136
17013,Calhoun,Illinois,795,898,589
26025,Calhoun,Michigan,23484,24711,1849
45017,Calhoun,South Carolina,2990,2952,6
48057,Calhoun,Texas,1627,4409,82
48059,Callahan,Texas,486,4475,54
55015,Calumet,Wisconsin,8992,14313,398
24009,Calvert,Maryland,9216,29610,458
16025,Camas,Idaho,157,371,10
42021,Cambria,Pennsylvania,21639,27530,725
23025,Cambridge,Massachusetts,54,125,9
(blank),Cambridge,Nebraska,0,2,0
50015,Cambridge,Vermont,739,965,65
13039,Camden,Georgia,5727,11139,195
23013,Camden,Massachusetts,2339,746,110
42023,Cameron,Pennsylvania,619,1127,27
48061,Cameron,Texas,41991,34407,1113
48063,Camp,Texas,1028,2816,41
46021,Campbell,South Dakota,173,550,9
47013,Campbell,Tennessee,2189,7820,145
56005,Campbell,Wyoming,1856,10398,756
33009,Campton,Nebraska,749,790,32
09005,Canaan,Connecticut,312,199,53
23025,Canaan,Massachusetts,305,471,52
33009,Canaan,Nebraska,724,699,15
50009,Canaan,Vermont,84,218,25
40017,Canadian,Oklahoma,16744,27410,1797
33015,Candia,Nebraska,599,1426,15
13043,Candler,Georgia,963,2560,16
47015,Cannon,Tennessee,1157,3473,27
09015,Canterbury,Connecticut,713,1410,243
33013,Canterbury,Nebraska,709,639,22
09003,Canton,Connecticut,2336,2582,578
23017,Canton,Massachusetts,135,220,63
16027,Canyon,Idaho,21839,40636,1118
23005,Cape Elizabeth,Massachusetts,3943,1514,192
23025,Caratunk,Massachusetts,11,29,1
42025,Carbon,Pennsylvania,9659,12476,407
56007,Carbon,Wyoming,1314,3560,292
16029,Caribou,Idaho,371,1824,72
23003,Caribou,Massachusetts,1141,1594,281
27017,Carlton,Minnesota,9051,6621,640
23019,Carmel,Massachusetts,430,784,66
24011,Caroline,Maryland,1900,9489,116
23007,Carrabassett Valley,Massachusetts,250,145,24
05015,Carroll,Arkansas,2968,5796,204
13045,Carroll,Georgia,12180,29204,459
19027,Carroll,Hawaii,3186,5676,165
17015,Carroll,Illinois,1804,3658,483
24013,Carroll,Maryland,11767,62445,839
33007,Carroll,Nebraska,163,228,2
39019,Carroll,Ohio,3114,6772,416
47017,Carroll,Tennessee,2247,6451,90
23019,Carroll Plt.,Massachusetts,9,55,5
48065,Carson,Texas,208,2209,36
40019,Carter,Oklahoma,4445,9090,469
47019,Carter,Tennessee,3525,14922,170
23007,Carthage,Massachusetts,89,119,21
27019,Carver,Minnesota,22334,26822,1700
23003,Cary Plt.,Massachusetts,24,64,10
23005,Casco,Massachusetts,698,893,118
19029,Cass,Hawaii,1886,3813,116
17017,Cass,Illinois,1483,2191,835
26027,Cass,Michigan,7255,11538,664
27021,Cass,Minnesota,5319,8145,517
31025,Cass,Nebraska,3709,6923,
48067,Cass,Texas,1890,8323,76
16031,Cassia,Idaho,1111,4888,181
23009,Castine,Massachusetts,296,141,14
23003,Castle Hill,Massachusetts,61,123,17
50021,Castleton,Vermont,396,993,154
48069,Castro,Texas,371,1226,18
23003,Caswell,Massachusetts,55,43,11
13047,Catoosa,Georgia,4590,18881,287
50027,Cavendish,Vermont,172,319,78
24015,Cecil,Maryland,7354,27063,522
19031,Cedar,Hawaii,3518,4409,191
31027,Cedar,Nebraska,755,2775,
33001,Center Harbor,Nebraska,226,374,12
44007,Central Falls,Rhode Island,1936,363,262
42027,Centre,Pennsylvania,34961,24353,1364
19033,Cerro Gordo,Hawaii,9011,9651,378
08015,Chaffee,Colorado,5461,5018,454
01017,Chambers,Alabama,4625,6687,20
48071,Chambers,Texas,2460,12505,203
17019,Champaign,Illinois,43257,29690,5447
39021,Champaign,Ohio,4197,10023,619
09015,Chaplin,Connecticut,425,524,96
23003,Chapman,Massachusetts,75,124,20
24017,Charles,Maryland,32100,31756,504
46023,Charles Mix,South Dakota,1853,1661,38
23019,Charleston,Massachusetts,129,423,18
45019,Charleston,South Carolina,84634,62642,175
50019,Charleston,Vermont,110,256,16
33019,Charlestown,Nebraska,732,924,29
44009,Charlestown,Rhode Island,2003,1361,404
26029,Charlevoix,Michigan,5720,7556,401
12015,Charlotte,Florida,31248,54102,1546
23029,Charlotte,Massachusetts,63,91,8
50007,Charlotte,Vermont,1056,1237,51
13049,Charlton,Georgia,822,2534,19
20017,Chase,Kansas,440,653,125
31029,Chase,Nebraska,205,1354,
13051,Chatham,Georgia,61059,41425,1059
33003,Chatham,Nebraska,70,94,2
13053,Chattahoochee,Georgia,494,603,8
13055,Chattooga,Georgia,1445,5936,53
20019,Chautauqua,Kansas,252,808,75
47021,Cheatham,Tennessee,4417,9966,76
23005,Chebeague Island,Massachusetts,201,66,9
26031,Cheboygan,Michigan,4838,7249,468
23011,Chelsea,Massachusetts,464,649,90
50017,Chelsea,Vermont,159,381,23
01019,Cherokee,Alabama,1552,6974,15
13057,Cherokee,Georgia,28047,76700,1664
19035,Cherokee,Hawaii,1715,3327,114
20021,Cherokee,Kansas,2314,4284,393
40021,Cherokee,Oklahoma,6970,6336,595
45021,Cherokee,South Carolina,4964,11730,17
48073,Cherokee,Texas,2938,11943,154
31031,Cherry,Nebraska,426,1979,
23029,Cherryfield,Massachusetts,196,282,29
09009,Cheshire,Connecticut,5776,7141,1077
09007,Chester,Connecticut,1147,840,183
23019,Chester,Massachusetts,61,190,11
33015,Chester,Nebraska,803,1547,30
42029,Chester,Pennsylvania,145212,87873,3690
45023,Chester,South Carolina,5195,5665,3
47023,Chester,Tennessee,1131,4161,95
50027,Chester,Vermont,441,708,92
33005,Chesterfield,Nebraska,1000,823,19
45025,Chesterfield,South Carolina,5241,6730,6
23007,Chesterville,Massachusetts,299,299,43
08017,Cheyenne,Colorado,138,809,33
20023,Cheyenne,Kansas,248,733,106
31033,Cheyenne,Nebraska,715,2534,
33013,Chichester,Nebraska,441,766,25
19037,Chickasaw,Hawaii,2103,3021,125
05017,Chicot,Arkansas,1857,1638,56
48075,Childress,Texas,206,1546,13
01021,Chilton,Alabama,2347,10487,10
23011,China,Massachusetts,864,1041,116
26033,Chippewa,Michigan,6187,7381,410
27023,Chippewa,Minnesota,2261,3008,238
55017,Chippewa,Wisconsin,11739,15499,537
27025,Chisago,Minnesota,10091,14556,1127
50021,Chittenden,Vermont,197,408,32
01023,Choctaw,Alabama,2649,3475,7
40023,Choctaw,Oklahoma,1286,2634,115
17021,Christian,Illinois,3702,6701,2314
40025,Cimarron,Oklahoma,98,682,19
12017,Citrus,Florida,21197,47729,1972
41005,Clackamas,Oregon,91088,98468,10710
47025,Claiborne,Tennessee,1871,6514,102
26035,Clare,Michigan,4424,6955,457
33019,Claremont,Nebraska,1766,2117,57
45027,Clarendon,South Carolina,6365,5722,3
50021,Clarendon,Vermont,210,739,51
42031,Clarion,Pennsylvania,5191,8594,309
05019,Clark,Arkansas,2611,3988,132
16033,Clark,Idaho,47,195,11
17023,Clark,Illinois,1823,3742,519
20025,Clark,Kansas,181,521,147
39023,Clark,Ohio,18537,27967,1613
46025,Clark,South Dakota,768,879,17
55019,Clark,Wisconsin,4015,7469,230
01025,Clarke,Alabama,4889,6344,7
13059,Clarke,Georgia,30427,12365,510
19039,Clarke,Hawaii,1280,2341,85
33007,Clarksville,Nebraska,51,69,4
41007,Clatsop,Oregon,8909,8294,1355
01027,Clay,Alabama,1241,4164,9
05021,Clay,Arkansas,782,3218,132
12019,Clay,Florida,28150,64401,931
13061,Clay,Georgia,642,536,8
19041,Clay,Hawaii,2417,4364,134
17025,Clay,Illinois,1104,3314,373
20027,Clay,Kansas,1040,1743,393
27027,Clay,Minnesota,12748,10301,1170
31035,Clay,Nebraska,564,2122,
46027,Clay,South Dakota,3039,1552,53
47027,Clay,Tennessee,778,1773,20
48077,Clay,Texas,449,3807,30
13063,Clayton,Georgia,80971,10868,373
19043,Clayton,Hawaii,2978,4512,432
08019,Clear Creek,Colorado,2932,2215,229
42033,Clearfield,Pennsylvania,9235,17241,416
16035,Clearwater,Idaho,779,2310,67
27029,Clearwater,Minnesota,1125,2239,103
01029,Cleburne,Alabama,508,3902,14
05023,Cleburne,Arkansas,1495,7856,273
39025,Clermont,Ohio,23847,53508,2788
05025,Cleveland,Arkansas,513,2020,56
40027,Cleveland,Oklahoma,46648,42268,3231
23019,Clifton,Massachusetts,145,227,22
13065,Clinch,Georgia,534,1717,7
09007,Clinton,Connecticut,2788,3302,411
19045,Clinton,Hawaii,9047,8847,330
17027,Clinton,Illinois,3874,9112,1093
23011,Clinton,Massachusetts,525,715,85
26037,Clinton,Michigan,18495,17649,1013
39027,Clinton,Ohio,3647,10884,523
42035,Clinton,Pennsylvania,5517,6727,232
20029,Cloud,Kansas,1092,1744,407
40029,Coal,Oklahoma,659,1127,60
13067,Cobb,Georgia,168767,138852,4195
48079,Cochran,Texas,122,550,7
47029,Cocke,Tennessee,2080,8139,143
46029,Codington,South Dakota,4697,5865,131
01031,Coffee,Alabama,3782,12117,73
13069,Coffee,Georgia,3630,8929,56
47031,Coffee,Tennessee,4867,11828,313
20031,Coffey,Kansas,1082,1926,467
48081,Coke,Texas,118,1187,15
01033,Colbert,Alabama,7692,13180,34
09011,Colchester,Connecticut,3114,3628,823
50007,Colchester,Vermont,2284,4188,189
09005,Colebrook,Connecticut,270,499,56
33007,Colebrook,Nebraska,284,445,20
48083,Coleman,Texas,328,2774,28
17029,Coles,Illinois,5964,9159,1877
31037,Colfax,Nebraska,738,1765,
45029,Colleton,South Carolina,6321,6891,14
12021,Collier,Florida,53594,100303,1556
48085,Collin,Texas,139175,208075,6444
48087,Collingsworth,Texas,101,827,11
48089,Colorado,Texas,1558,5992,63
13071,Colquitt,Georgia,3054,9830,79
05027,Columbia,Arkansas,2044,4199,99
09013,Columbia,Connecticut,1239,1403,288
12023,Columbia,Florida,7105,17426,312
13073,Columbia,Georgia,20023,40947,664
23029,Columbia,Massachusetts,49,106,14
33007,Columbia,Nebraska,89,162,6
41009,Columbia,Oregon,9519,12953,2145
42037,Columbia,Pennsylvania,9822,12424,392
55021,Columbia,Wisconsin,14124,12363,547
