fipscode,county,state,dem_votes,rep_votes,other_votes
01001,Autauga,Alabama,5971,11941,0
01003,Baldwin,Alabama,12621,44126,0
01005,Barbour,Alabama,5127,3229,0
01007,Bibb,Alabama,2048,4384,0
01009,Blount,Alabama,3748,13024,0
01011,Bullock,Alabama,3018,874,0
01013,Butler,Alabama,3728,3358,0
01015,Calhoun,Alabama,12559,21239,0
01017,Chambers,Alabama,5296,5067,0
01019,Cherokee,Alabama,2901,4315,0
01021,Chilton,Alabama,4034,9529,0
01023,Choctaw,Alabama,3701,2962,0
01025,Clarke,Alabama,5313,5369,0
01027,Clay,Alabama,2069,3248,0
01029,Cleburne,Alabama,1471,3678,0
01031,Coffee,Alabama,5647,9535,0
01033,Colbert,Alabama,7586,9181,0
01035,Conecuh,Alabama,2982,2311,0
01037,Coosa,Alabama,2342,2068,0
01039,Covington,Alabama,4321,7819,0
01041,Crenshaw,Alabama,2508,2724,0
01043,Cullman,Alabama,8803,21115,0
01045,Dale,Alabama,6092,7903,0
01047,Dallas,Alabama,11118,4567,0
01049,DeKalb,Alabama,9125,11289,0
01051,Elmore,Alabama,8724,17439,0
01053,Escambia,Alabama,4091,6487,0
01055,Etowah,Alabama,12710,19312,0
01057,Fayette,Alabama,1885,4200,0
01059,Franklin,Alabama,3947,4751,0
01061,Geneva,Alabama,4079,5605,0
01063,Greene,Alabama,3666,665,0
01065,Hale,Alabama,4116,2402,0
01067,Henry,Alabama,3495,3278,0
01069,Houston,Alabama,15724,17057,0
01071,Jackson,Alabama,6794,8606,0
01073,Jefferson,Alabama,106959,103802,0
01075,Lamar,Alabama,1580,3369,0
01077,Lauderdale,Alabama,10849,17074,0
01079,Lawrence,Alabama,5547,6036,0
01081,Lee,Alabama,13846,19704,0
01083,Limestone,Alabama,8593,17346,0
01085,Lowndes,Alabama,4099,1231,0
01087,Macon,Alabama,6632,919,0
01089,Madison,Alabama,42090,65963,0
01091,Marengo,Alabama,5084,3790,0
01093,Marion,Alabama,2994,5895,0
01095,Marshall,Alabama,7521,18164,0
01097,Mobile,Alabama,48000,61479,0
01099,Monroe,Alabama,3413,4103,0
01101,Montgomery,Alabama,43439,30046,0
01103,Morgan,Alabama,12169,26976,0
01105,Perry,Alabama,3303,1143,0
01107,Pickens,Alabama,3280,4226,0
01109,Pike,Alabama,4685,5001,0
01111,Randolph,Alabama,2840,4453,0
01113,Russell,Alabama,6550,4915,0
01117,Shelby,Alabama,13589,49192,0
01115,St. Clair,Alabama,5878,18742,0
01119,Sumter,Alabama,4290,1306,0
01121,Talladega,Alabama,10773,13200,0
01123,Tallapoosa,Alabama,6733,9023,0
01125,Tuscaloosa,Alabama,20146,34206,0
01127,Walker,Alabama,8685,13804,0
01129,Washington,Alabama,2733,3336,0
01131,Wilcox,Alabama,3347,1140,0
01133,Winston,Alabama,2045,6031,0
04001,Apache,Arizona,12839,7002,818
04003,Cochise,Arizona,13954,24974,1142
04005,Coconino,Arizona,20792,16754,1398
04007,Gila,Arizona,6155,11163,611
04009,Graham,Arizona,2865,5994,294
04011,Greenlee,Arizona,1177,1187,84
04012,La Paz,Arizona,1330,3048,150
04013,Maricopa,Arizona,415142,543045,32957
04015,Mohave,Arizona,12777,39026,1912
04017,Navajo,Arizona,12517,16157,972
04019,Pima,Arizona,158337,148916,8336
04021,Pinal,Arizona,30109,45807,2675
04023,Santa Cruz,Arizona,6608,3190,243
04025,Yavapai,Arizona,25569,53081,2738
04027,Yuma,Arizona,13764,19590,882
05001,Arkansas,Arkansas,3765,1111,57
05003,Ashley,Arkansas,3742,1834,71
05005,Baxter,Arkansas,8128,6468,311
05007,Benton,Arkansas,27715,24600,879
05009,Boone,Arkansas,8843,5602,502
05011,Bradley,Arkansas,2164,696,27
05013,Calhoun,Arkansas,1143,448,25
05015,Carroll,Arkansas,5166,2876,267
05017,Chicot,Arkansas,2404,573,30
05019,Clark,Arkansas,5772,1685,172
05021,Clay,Arkansas,3055,1029,64
05023,Cleburne,Arkansas,5029,3955,173
05025,Cleveland,Arkansas,1539,807,57
05027,Columbia,Arkansas,4484,2423,109
05029,Conway,Arkansas,4439,1595,119
05031,Craighead,Arkansas,14557,6580,312
05033,Crawford,Arkansas,8433,6035,292
05035,Crittenden,Arkansas,8256,3171,334
05037,Cross,Arkansas,3651,1435,73
05039,Dallas,Arkansas,1807,628,24
05041,Desha,Arkansas,2981,517,39
05043,Drew,Arkansas,3124,1228,75
05045,Faulkner,Arkansas,16188,10434,512
05047,Franklin,Arkansas,3282,1833,155
05049,Fulton,Arkansas,2194,1260,89
05051,Garland,Arkansas,18424,11490,567
05053,Grant,Arkansas,3319,1816,93
05055,Greene,Arkansas,6213,2809,168
05057,Hempstead,Arkansas,3238,1550,106
05059,Hot Spring,Arkansas,5606,2520,268
05061,Howard,Arkansas,2185,900,50
05063,Independence,Arkansas,6056,3033,161
05065,Izard,Arkansas,2875,1550,129
05067,Jackson,Arkansas,2993,891,65
05069,Jefferson,Arkansas,14724,3667,302
05071,Johnson,Arkansas,3939,1862,150
05073,Lafayette,Arkansas,1342,706,30
05075,Lawrence,Arkansas,3400,1151,103
05077,Lee,Arkansas,2509,461,39
05079,Lincoln,Arkansas,2072,791,194
05081,Little River,Arkansas,2537,1047,55
05083,Logan,Arkansas,4167,1979,122
05085,Lonoke,Arkansas,9124,7043,242
05087,Madison,Arkansas,3097,1831,120
05089,Marion,Arkansas,3267,2222,236
05091,Miller,Arkansas,5832,4625,172
05093,Mississippi,Arkansas,7927,2557,273
05095,Monroe,Arkansas,2226,439,30
05097,Montgomery,Arkansas,1969,943,80
05099,Nevada,Arkansas,1782,666,38
05101,Newton,Arkansas,1916,1329,124
05103,Ouachita,Arkansas,5562,2063,132
05105,Perry,Arkansas,1919,1091,93
05107,Phillips,Arkansas,5433,839,89
05109,Pike,Arkansas,2112,940,67
05111,Poinsett,Arkansas,4488,1838,160
05113,Polk,Arkansas,3755,2561,123
05115,Pope,Arkansas,9601,5618,347
05117,Prairie,Arkansas,1884,595,51
05119,Pulaski,Arkansas,78055,31120,1705
05121,Randolph,Arkansas,3146,1290,133
05125,Saline,Arkansas,20488,14078,581
05127,Scott,Arkansas,2054,1119,61
05129,Searcy,Arkansas,1903,1345,104
05131,Sebastian,Arkansas,18531,11563,567
05133,Sevier,Arkansas,2153,1069,59
05135,Sharp,Arkansas,3607,2279,168
05123,St. Francis,Arkansas,5361,1469,97
05137,Stone,Arkansas,3177,1684,131
05139,Union,Arkansas,7412,4540,183
05141,Van Buren,Arkansas,3493,1824,155
05143,Washington,Arkansas,26987,16585,1080
05145,White,Arkansas,12615,6909,285
05147,Woodruff,Arkansas,1889,290,32
05149,Yell,Arkansas,3111,1374,125
06001,Alameda,California,340190,103947,16884
06003,Alpine,California,319,228,17
